ID,STORE,NAME,X,Y,CLASS,CLIMATE,FOOD,DC,MILES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
531 ,1030 ,MEM-MEMPHIS NE,-89.79,35.21,A,4,Y,580 ,200 ,39564 ,39376 ,51546 ,38950 ,37344 ,51048 ,43139 ,45880 ,52497 ,42609 ,52836 ,68827 ,563615 
532 ,1031 ,SPRINGFIELD,-93.25,37.15,A,1,Y,3803 ,230 ,41539 ,43409 ,56825 ,42939 ,41168 ,56276 ,47558 ,50579 ,55118 ,44736 ,55473 ,72263 ,607881 
533 ,1032 ,DFW-IRVING,-96.98,32.92,C,4,Y,3801 ,35 ,25056 ,24937 ,32644 ,24667 ,23649 ,32328 ,27320 ,29055 ,31663 ,26984 ,33461 ,43588 ,355351 
534 ,1033 ,LAX-BALDWIN PARK,-117.97,34.1,C,5,Y,553 ,33 ,29687 ,29546 ,38678 ,30688 ,29422 ,40219 ,33989 ,36148 ,40692 ,33270 ,38348 ,50347 ,431035 
535 ,1034 ,SANTA FE ,-106.01,35.56,B,1, ,588 ,481 ,38605 ,40343 ,52811 ,39907 ,38260 ,52301 ,44199 ,47006 ,51225 ,41576 ,51555 ,67159 ,564947 
536 ,1035 ,STL-ST.PETERS,-90.65,38.72,C,1, ,559 ,255 ,25901 ,27067 ,35432 ,26774 ,25670 ,35090 ,29654 ,31538 ,34368 ,27895 ,34590 ,45059 ,379038 
537 ,1036 ,CHI-LAKE ZURICH,-88.05,42.2,C,1,Y,557 ,86 ,25365 ,25244 ,33047 ,24972 ,23941 ,32727 ,27657 ,29414 ,32054 ,27317 ,33874 ,44126 ,359738 
538 ,1037 ,CIN-SPRINGDALE,-84.47,39.29,D,2, ,559 ,125 ,19655 ,20540 ,26888 ,20318 ,19479 ,26628 ,22503 ,23932 ,26080 ,21168 ,26248 ,34193 ,287631 
539 ,1038 ,MIA-NORTH MIAMI,-80.16,25.9,A,6,Y,3808 ,444 ,40597 ,40404 ,52891 ,41966 ,40234 ,54999 ,46479 ,49432 ,53868 ,43721 ,54215 ,70624 ,589430 
540 ,1039 ,MIA-DADELAND,-80.3,25.7,AA+,6,Y,3808 ,460 ,64633 ,64326 ,84207 ,63631 ,61006 ,83393 ,73998 ,78699 ,85761 ,69608 ,86314 ,112438 ,928013 
541 ,1040 ,SAN-VISTA,-117.24,33.18,B,5,Y,3806 ,75 ,36070 ,35899 ,46994 ,35511 ,34046 ,48867 ,41296 ,43920 ,49441 ,40423 ,46593 ,61172 ,520231 
542 ,1041 ,RIC-RICHMOND WEST,-77.56,37.51,B,4,Y,3811 ,264 ,24646 ,25755 ,33716 ,25477 ,24426 ,33390 ,28217 ,30010 ,32703 ,26543 ,32914 ,42876 ,360672 
543 ,1042 ,BWI-ELLIOT CITY,-76.8,39.26,A+,2,Y,560 ,171 ,46599 ,48697 ,66934 ,48170 ,46183 ,63131 ,53351 ,56740 ,61832 ,50186 ,62231 ,81066 ,685120 
544 ,1043 ,BWI-ABERDEEN,-76.2,39.51,C,2,Y,560 ,211 ,17393 ,17310 ,22660 ,17979 ,17238 ,23563 ,19913 ,21178 ,23079 ,18732 ,23227 ,30257 ,252530 
545 ,1044 ,BWI-COLUMBIA,-76.83,39.21,AA+,2, ,560 ,169 ,60453 ,63174 ,82698 ,62491 ,59913 ,81900 ,69212 ,73609 ,80214 ,65106 ,80732 ,105166 ,884665 
546 ,1045 ,BWI-OWINGS MILLS,-76.78,39.42,C,2,Y,560 ,187 ,23169 ,23059 ,30185 ,22809 ,21868 ,29894 ,25263 ,26867 ,29278 ,24952 ,30941 ,40305 ,328590 
547 ,1046 ,DCA-GERMANTOWN,-77.23,39.21,A+,2,Y,3804 ,384 ,48295 ,48065 ,62920 ,47546 ,45584 ,62313 ,52659 ,56005 ,64082 ,52012 ,64495 ,84016 ,687992 
548 ,1047 ,NOR-VIRGINIA BEACH EAST,-76.01,36.87,A,4,Y,3811 ,339 ,37822 ,39524 ,51740 ,39097 ,37484 ,51240 ,43302 ,46053 ,50186 ,40733 ,50510 ,65797 ,553490 
549 ,1048 ,NOR-NORFOLK,-76.21,36.86,C,4,Y,3811 ,325 ,28064 ,29327 ,38391 ,29010 ,27813 ,38020 ,32130 ,34171 ,37237 ,30224 ,37478 ,48821 ,410684 
550 ,1049 ,RIC-RICHMOND NW,-77.53,37.66,A,4,Y,3811 ,279 ,34512 ,36066 ,47212 ,35676 ,34204 ,46756 ,39513 ,42023 ,45794 ,37169 ,46090 ,60039 ,505055 
551 ,1050 ,VERO BEACH,-80.65,27.63,C,6,Y,3808 ,322 ,23815 ,24886 ,32578 ,24617 ,23602 ,32263 ,27265 ,28997 ,31599 ,25647 ,31803 ,41429 ,348502 
552 ,1051 ,TPA-GANDY,-82.51,27.89,C,6,Y,556 ,271 ,27326 ,27197 ,35602 ,26903 ,25793 ,35258 ,31286 ,33273 ,36259 ,29430 ,36493 ,47538 ,392358 
553 ,1052 ,WYOMING,-85.71,42.89,C,1,Y,587 ,72 ,26474 ,27665 ,36216 ,27366 ,26237 ,35866 ,30310 ,32235 ,35128 ,28511 ,35355 ,46055 ,387419 
554 ,1053 ,MERRITT ISLAND,-80.69,28.46,C,6,Y,3808 ,264 ,18824 ,19672 ,25752 ,19459 ,18656 ,25503 ,21552 ,22921 ,24978 ,20273 ,25139 ,32748 ,275477 
555 ,1054 ,SFO-TANFORAN,-122.44,37.62,AA,3,Y,555 ,102 ,64581 ,64274 ,84139 ,63580 ,60957 ,83326 ,73938 ,78635 ,88522 ,72374 ,83422 ,109525 ,927274 
556 ,1055 ,MENLO,-74.35,40.51,A,1, ,589 ,199 ,35444 ,37039 ,48486 ,36639 ,35127 ,48018 ,40579 ,43157 ,47030 ,38172 ,47333 ,61659 ,518684 
